16
0.5778 1.8034 2.0995 0.2075 1.1621 1.8017 2 4.0101 1.6984 1.4429
0.5784 1.8240 2.1038 0.1973 1.4861 1.8067 2 6.3556 1.6946 1.6092
0.5788 1.8513 2.0988 0.1977 1.4870 1.8066 2 5.8760 1.6954 1.6025
0.5749 1.8697 2.0965 0.2237 0.8316 1.8019 2 2.7595 1.7007 1.4128
0.5607 2.0132 2.0819 0.2652 0.5180 1.8649 2 2.2784 1.7115 1.5077
0.5782 2.0823 1.6247 0.2040 1.1586 1.8020 2 4.8299 1.6973 1.8582
0.5747 2.0130 1.1667 0.2161 0.8208 1.8057 2 3.8951 1.6973 2.0846
0.5605 2.1812 0.6986 0.1993 0.4975 1.6893 2 2.7078 1.7115 2.3927
0.5776 1.8991 2.1004 0.2527 1.1633 1.8063 2 4.9031 1.6958 1.5371
0.5775 1.9989 2.1020 0.2979 1.1653 1.8107 2 5.8929 1.6935 1.6030
0.5749 1.9637 2.0996 0.3489 1.1660 1.8210 2 6.0111 1.6944 1.6593
0.5977 2.4206 2.1098 0.5654 1.1727 1.8276 2 4.1453 1.6847 1.8872
0.5949 2.1326 2.1154 0.5721 1.4947 1.8496 2 5.4846 1.6817 2.0027
0.5924 2.4088 2.1269 0.5665 0.8651 1.8279 2 3.9335 1.6714 1.5034
0.5905 2.4861 2.1130 0.5559 0.5247 1.7867 2 3.4074 1.6844 1.5403
0.5945 2.2618 1.6402 0.5648 1.1707 1.8302 2 5.4050 1.6714 2.4305
